1		 Car_ID		 Year		 Make		 Model		 1
138		 211		 2004		 Acura		 Tsx		 138
139		 186		 2012		 Volkswagen		 Gli		 139
140		 59		 2007		 Honda		 Civic		 140
141		 72		 2016		 Civic		 Si		 141
142		 45		 2006		 Acura		 TL		 142
143		 1051		 2006		 Acura		 Tsx		 143
144		 84		 2012		 Mercedes		 Cl63amg		 144
145		 118		 1993		 Honda		 Civic		 145
146		 174		 2006		 Acura		 Rsx		 146
147		 138		 1990		 Mazda		 Miata		 147
148		 242		 2014		 Nissan		 Maxima		 148
149		 153		 2011		 Nissan		 370		 149
150		 193		 2014		 Nissan		 Ssntra		 150
151		 94		 2004		 Volkswagen		 Gti		 151
152		 11		 1991		 Nissan		 Skyline		 152
153		 86		 1996		 Volkswagen		 Jetta		 153
154		 9		 1996		 Nissan		 240		 154
155		 142		 1993		 Toyota		 Supra		 155
156		 126		 2010		 Volkswagen		 Eos		 156
157		 144		 2016		 Volkswagen		 Gti		 157
158		 110		 2011		 Toyota		 Camry		 158
159		 34		 2010		 Honda		 Fit		 159
160		 190		 1995		 Lexus		 Sc300		 160
161		 235		 2013		 Scion		 Frs		 161
162		 24		 2013		 Subaru		 BRZ		 162
163		 64		 2004		 Subaru		 Forester		 163
164		 122		 2011		 Infinity		 M37s		 164
165		 106		 2007		 Acura		 Tl type s		 165
166		 113		 2012		 Acura		 Tsx sportwagon		 166
167		 37		 2016		 Honda		 Civic 1.5t		 167
168		 237		 1987		 Volkswagen		 Jetta		 168
